               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10974,            0.030793,            0.030348,            0.011499,            0.072524,           0.0061394,           0.0010856,            0.080235,            0.022679,            0.024139,              0.0003,              0.0003,              0.0973
                   1,            0.082883,            0.030328,            0.028617,            0.066254,             0.19372,            0.048915,            0.011221,            0.053746,            0.022166,            0.022186,          0.00060994,          0.00060994,             0.09451
                   2,            0.068391,            0.032084,            0.027178,             0.21328,             0.48426,             0.21519,             0.05418,             0.04405,            0.020539,            0.020992,          0.00091964,          0.00091964,             0.09172
                   3,            0.057739,            0.030328,            0.025781,             0.33928,             0.41707,             0.31484,            0.098169,             0.03925,            0.019178,            0.020165,           0.0012289,           0.0012289,            0.088929
                   4,            0.051598,            0.027737,            0.024929,             0.33815,             0.53876,              0.3709,             0.13837,            0.038655,            0.016463,            0.018541,           0.0015376,           0.0015376,            0.086138
                   5,            0.052185,            0.029214,            0.023245,             0.37506,             0.52415,             0.40904,             0.15854,            0.036856,            0.015709,             0.01868,           0.0018454,           0.0018454,            0.083345
                   6,            0.051977,            0.026547,            0.020287,             0.38287,             0.60244,             0.43069,              0.1215,            0.042917,            0.013667,            0.013118,           0.0021523,           0.0021523,            0.080552
                   7,            0.052823,            0.023363,            0.014141,             0.65226,             0.67449,             0.71566,             0.25837,            0.039967,            0.013235,           0.0065362,           0.0024581,           0.0024581,            0.077758
                   8,            0.051311,            0.022061,           0.0082052,             0.62663,             0.57796,             0.64151,              0.2975,            0.038687,            0.012103,           0.0049848,           0.0027625,           0.0027625,            0.074962
                   9,             0.05097,            0.019894,           0.0075707,             0.48451,             0.74607,              0.6488,             0.22665,            0.044469,            0.011629,           0.0046224,           0.0030654,           0.0030654,            0.072165
                  10,            0.052944,            0.020181,           0.0063516,             0.55936,             0.80762,             0.73932,             0.35841,             0.03883,            0.011781,            0.005369,           0.0033666,           0.0033666,            0.069367
                  11,            0.049093,            0.019703,           0.0048124,             0.52436,             0.83008,             0.69208,             0.35436,            0.036645,            0.010659,           0.0022432,           0.0036659,           0.0036659,            0.066566
                  12,            0.047257,            0.018241,           0.0039096,             0.76386,             0.72201,             0.80216,             0.37191,            0.037352,            0.010502,           0.0016407,           0.0039632,           0.0039632,            0.063763
                  13,            0.045615,            0.017525,           0.0038355,             0.60012,             0.75981,             0.73961,             0.33074,            0.036518,            0.011159,           0.0049419,           0.0042582,           0.0042582,            0.060958
                  14,            0.047009,            0.017753,           0.0041011,             0.72688,             0.77592,              0.8548,             0.46758,            0.032089,            0.010288,            0.002368,           0.0045509,           0.0045509,            0.058151
                  15,            0.044706,            0.017234,           0.0037923,             0.62713,             0.78814,             0.80733,             0.47449,            0.033408,           0.0096722,           0.0027875,            0.004841,            0.004841,            0.055341
                  16,            0.046479,            0.017491,           0.0043637,             0.58874,             0.75678,             0.73446,             0.36078,            0.036756,            0.010411,           0.0046638,           0.0051283,           0.0051283,            0.052528
                  17,            0.046176,            0.017304,           0.0047294,             0.61687,             0.80026,             0.76852,             0.38826,            0.035179,           0.0094545,           0.0018663,           0.0054128,           0.0054128,            0.049713
                  18,            0.045908,            0.016844,           0.0047292,             0.69075,             0.86016,             0.80089,             0.45159,            0.032606,           0.0092243,           0.0024944,           0.0056942,           0.0056942,            0.046894
                  19,            0.046332,            0.016662,           0.0032023,             0.69669,             0.72303,             0.83358,              0.3863,            0.036965,           0.0092226,           0.0023735,           0.0059723,           0.0059723,            0.044072
                  20,            0.044079,            0.016241,           0.0040112,             0.76814,             0.64155,             0.84009,              0.4794,            0.034076,           0.0097618,            0.013496,           0.0062471,           0.0062471,            0.041247
                  21,            0.042921,            0.015629,           0.0035217,             0.78125,             0.90672,             0.89881,             0.53952,            0.031603,           0.0091694,           0.0019082,           0.0065183,           0.0065183,            0.038418
                  22,            0.043006,            0.015195,           0.0030698,             0.74927,             0.84019,             0.88012,             0.55297,             0.02758,           0.0090938,           0.0062406,           0.0067859,           0.0067859,            0.035586
